system	feature	estimate	SE	z	p_value	CI95_low	CI95_high	SESOI_lower	SESOI_upper	TOST_p_lower	TOST_p_upper	TOST_p	TOST_equivalent_alpha_0_05	p_BH_60	TOST_p_BH_60	average_classification	SESOI_classification
A10	cpps	0.0191509156173417	0.0117932355193066	1.62388986347216	0.104399316315673	-0.00396340126169762	0.0422652324963811	-0.1	0.1	0	3.55199958237344e-12	3.55199958237344e-12	TRUE	0.127835897529396	4.4399994779668e-12	NOT_SIGNIFICANT	EQUIVALENT
A10	energy	0.00585457538114322	0.00491555121291579	1.19103130606393	0.233641295182985	-0.0037797279603339	0.0154888787226203	-0.1	0.1	0	4.60655633031473e-82	4.60655633031473e-82	TRUE	0.254881412926893	1.25633354463129e-81	NOT_SIGNIFICANT	EQUIVALENT
A10	flatness	-0.0336002848605044	0.00608352606180233	-5.52315951623455	3.32957186038369e-08	-0.0455237768406478	-0.0216767928803611	-0.1	0.1	0	3.39969941155003e-107	3.39969941155003e-107	TRUE	9.98871558115107e-08	1.45701403352144e-106	SIGNIFICANT_NEGATIVE	EQUIVALENT
A10	flux	-0.0250908217818144	0.0055057202859216	-4.5572278428261	5.18331878838846e-06	-0.0358818352511723	-0.0142998083124565	-0.1	0.1	0	1.41601367584601e-114	1.41601367584601e-114	TRUE	1.24399650921323e-05	8.49608205507606e-114	SIGNIFICANT_NEGATIVE	EQUIVALENT
A10	tilt	-0.00840787383789091	0.00493201798107213	-1.7047532815489	0.0882404480207513	-0.0180744514518962	0.00125870377611442	-0.1	0.1	0	2.21624170867619e-107	2.21624170867619e-107	TRUE	0.110300560025939	1.02288078861978e-106	NOT_SIGNIFICANT	EQUIVALENT
A11	centroid	-0.0307949726930317	0.00545842968583635	-5.64172746842177	1.68352432223799e-08	-0.0414932982894152	-0.0200966470966482	-0.1	0.1	0	3.4628386174198e-127	3.4628386174198e-127	TRUE	5.6117477407933e-08	3.4628386174198e-126	SIGNIFICANT_NEGATIVE	EQUIVALENT
A11	cpps	0.0211478277758776	0.0110254947602918	1.91808424344286	0.0551003300401292	-0.000461744866029436	0.0427574004177845	-0.1	0.1	0	4.28225498593982e-13	4.28225498593982e-13	TRUE	0.0734671067201723	5.46670849268913e-13	NOT_SIGNIFICANT	EQUIVALENT
A11	energy	0.0195852210518714	0.0049569497603049	3.95106305266783	7.78048206672356e-05	0.0098697780484993	0.0293006640552434	-0.1	0.1	0	1.74454249821517e-59	1.74454249821517e-59	TRUE	0.000172899601482746	3.48908499643034e-59	SIGNIFICANT_POSITIVE	EQUIVALENT
A11	flatness	-0.0332059482945976	0.00600580845593952	-5.52897225048163	3.22112286524649e-08	-0.0449771165662851	-0.02143478002291	-0.1	0.1	0	2.70768143745415e-109	2.70768143745415e-109	TRUE	9.98871558115107e-08	1.47691714770226e-108	SIGNIFICANT_NEGATIVE	EQUIVALENT
A11	flux	-0.083750406460503	0.00556275485552019	-15.0555630502742	3.17385640323583e-51	-0.0946532056321479	-0.0728476072888581	-0.1	0.1	0.00174375748338518	1.39815163775833e-239	0.00174375748338518	TRUE	4.76078460485374e-50	0.00186831158934126	SIGNIFICANT_NEGATIVE	EQUIVALENT
A11	tilt	0.0102273170476644	0.00489967380739645	2.08734651523647	0.0368568229241536	0.000624132849173117	0.0198305012461557	-0.1	0.1	0	2.75335039122815e-75	2.75335039122815e-75	TRUE	0.0539368140353467	6.88337597807038e-75	NOT_SIGNIFICANT	EQUIVALENT
A12	centroid	-0.0222289601378728	0.00567565719627184	-3.91654382376622	8.98274929282573e-05	-0.0333530438311612	-0.0111048764445844	-0.1	0.1	0	3.60884189913474e-103	3.60884189913474e-103	TRUE	0.000188346138210753	1.20294729971158e-102	SIGNIFICANT_NEGATIVE	EQUIVALENT
A12	cpps	0.0226396417249591	0.0119817831857536	1.88950520752852	0.0588241656540376	-0.00084422178968558	0.0461235052396039	-0.1	0.1	0	5.35768252253362e-11	5.35768252253362e-11	TRUE	0.076727172592223	6.5604275786126e-11	NOT_SIGNIFICANT	EQUIVALENT
A12	energy	-0.0115364397428998	0.0048137667632125	-2.39655145551773	0.0165501695584397	-0.0209712492287722	-0.00210163025702734	-0.1	0.1	0	4.53790785314521e-119	4.53790785314521e-119	TRUE	0.0254617993206765	3.02527190209681e-118	SIGNIFICANT_NEGATIVE	EQUIVALENT
A12	flatness	-0.0331543240889282	0.00631033774849284	-5.25396982068778	1.48855282662252e-07	-0.0455223588062578	-0.0207862893715987	-0.1	0.1	0	3.89506019458877e-99	3.89506019458877e-99	TRUE	4.05968952715233e-07	1.16851805837663e-98	SIGNIFICANT_NEGATIVE	EQUIVALENT
A12	flux	0.00950729104992576	0.00551881136673076	1.7227062891185	0.0849416524508341	-0.00130938046633679	0.0203239625661883	-0.1	0.1	0	1.00231809987413e-60	1.00231809987413e-60	TRUE	0.108436152064895	2.14782449973028e-60	NOT_SIGNIFICANT	EQUIVALENT
A12	tilt	0.00621410038556606	0.00494675387244152	1.25619760873589	0.209044333526586	-0.00348135904480336	0.0159095598159355	-0.1	0.1	0	1.85795511488951e-80	1.85795511488951e-80	TRUE	0.236653962482928	4.84683943014655e-80	NOT_SIGNIFICANT	EQUIVALENT
