system	feature	relative_time_ms	estimate	SE	z	p_value	CI95_low	CI95_high	SESOI_lower	SESOI_upper	TOST_p_lower	TOST_p_upper	TOST_p	TOST_equivalent_alpha_0_05	p_Bonferroni_within_trajectory	p_BH_global	TOST_p_Bonferroni_within_trajectory	TOST_p_BH_global	predefined_followup_significant	SESOI_equivalent	followup_classification
A04	centroid	-15	0.0088626946792817	0.0102819457558132	0.861966683132025	0.388705851971086	-0.0112895486931066	0.02901493805167	-0.1	0.1	0	3.86596495915444e-19	3.86596495915444e-19	TRUE	1	0.488185074750416	3.479368463239e-18	3.86596495915444e-18	FALSE	TRUE	NOT_SIGNIFICANT
A04	centroid	-10	0.0072497892269864	0.0123149573179477	0.588697876883473	0.556063962391735	-0.0168870835873391	0.0313866620413119	-0.1	0.1	0	2.50786440267674e-14	2.50786440267674e-14	TRUE	1	0.640682391451347	2.25707796240907e-13	1.35629401369252e-13	FALSE	TRUE	NOT_SIGNIFICANT
A04	centroid	-5	0.00844193663915503	0.0100929562181574	0.836418632626966	0.402919434029145	-0.011339894045973	0.0282237673242831	-0.1	0.1	0	5.87049156133686e-20	5.87049156133686e-20	TRUE	1	0.503649292536431	5.28344240520317e-19	6.34971536226232e-19	FALSE	TRUE	NOT_SIGNIFICANT
A04	centroid	0	0.0105163808556237	0.0124973101855783	0.841491544937363	0.400072619721827	-0.0139778970117353	0.0350106587229827	-0.1	0.1	0	4.02708169961891e-13	4.02708169961891e-13	TRUE	1	0.501273022346497	3.62437352965702e-12	1.79357420235128e-12	FALSE	TRUE	NOT_SIGNIFICANT
A04	centroid	5	0.0111699212017409	0.0100929562181574	1.10670461263331	0.268421660447572	-0.00861190948338723	0.030951751886869	-0.1	0.1	0	6.76832716566398e-19	6.76832716566398e-19	TRUE	1	0.364885893850484	6.09149444909758e-18	6.52220617782165e-18	FALSE	TRUE	NOT_SIGNIFICANT
A04	centroid	10	0.00953338520481189	0.0123149573179473	0.774130592472161	0.438853567921699	-0.0146034876095127	0.0336702580191365	-0.1	0.1	0	1.02055024840493e-13	1.02055024840493e-13	TRUE	1	0.538534310461983	9.18495223564437e-13	4.91719665140557e-13	FALSE	TRUE	NOT_SIGNIFICANT
A04	centroid	15	0.00541461349343636	0.0102819457558133	0.526613699588428	0.598461876534606	-0.0147376298789521	0.0255668568658248	-0.1	0.1	0	1.80359416589244e-20	1.80359416589244e-20	TRUE	1	0.677745287528507	1.6232347493032e-19	2.03384022962339e-19	FALSE	TRUE	NOT_SIGNIFICANT
A04	centroid	20	-0.00010452910056505	0.0155493195887898	-0.00672242280237196	0.994636323033121	-0.0305806354786962	0.0303715772775661	-0.1	0.1	6.61835031223745e-11	6.05800549466407e-11	6.61835031223745e-11	TRUE	1	0.996516542925433	5.95651528101371e-10	2.1258943427187e-10	FALSE	TRUE	NOT_SIGNIFICANT
A04	cpps	-20	0.0416871714382591	0.0334613937779729	1.24582890105735	0.212827216800695	-0.0238959552390804	0.107270298115599	-0.1	0.1	1.14608098621405e-05	0.0406939099520332	0.0406939099520332	TRUE	1	0.296837960274654	0.366245189568299	0.0522222088972823	FALSE	FALSE	NOT_SIGNIFICANT
A04	cpps	-15	0.0824094759568647	0.0221262566361446	3.72451053569738	0.000195694539901101	0.0390428098373308	0.125776142076399	-0.1	0.1	1.11022302462516e-16	0.213304779106722	0.213304779106722	FALSE	0.00176125085910991	0.000554642278864083	1	0.252911706770834	TRUE	FALSE	SIGNIFICANT
A04	cpps	-10	0.0985722729099985	0.0265012005073078	3.71953990849647	0.000199586011195953	0.0466308743686005	0.150513671451396	-0.1	0.1	3.36397576461422e-14	0.478517754530896	0.478517754530896	FALSE	0.00179627410076358	0.000562662691137527	1	0.540755671431503	TRUE	FALSE	SIGNIFICANT
