system	feature	region	relative_time_ms	estimate_tts_minus_bf	SE	CI95_low	CI95_high	wald_z	p_raw	p_bonferroni_within_trajectory	p_BH_global
A11	cpps	Interior_B	5	-0.240050977184035	0.0353388772905316	-0.309313903927557	-0.170788050440512	-6.79282975547025	1.09955109464866e-11	9.89595985183797e-11	2.60938244849459e-11
A11	cpps	Interior_B	10	-0.22135274965256	0.0371822946119862	-0.294228707954611	-0.148476791350509	-5.95317615447014	2.62987965115565e-09	2.36689168604009e-08	5.72025806475716e-09
A11	cpps	Interior_B	15	-0.204457572134847	0.0354848585972056	-0.274006616981866	-0.134908527287827	-5.76182575378636	8.32088786645331e-09	7.48879907980798e-08	1.77111267840171e-08
A11	cpps	Interior_B	20	-0.189599807073035	0.0403051224552282	-0.268596395477759	-0.110603218668311	-4.70411192234056	2.54973354709825e-06	2.29476019238842e-05	4.80340798564717e-06
A11	energy	Boundary	-20	-0.0567115515815539	0.0149952367162447	-0.0861016754850462	-0.0273214276780617	-3.78197107886379	0.000155591442632902	0.00140032298369612	0.000261788776493454
A11	energy	Boundary	-15	-0.0411016233638564	0.0122887379538323	-0.0651871071688181	-0.0170161395588948	-3.34465780931059	0.000823841463446737	0.00741457317102064	0.00131253299286604
A11	energy	Boundary	-10	-0.0283099682538947	0.0132644449428301	-0.0543078026167561	-0.00231213389103336	-2.13427462482683	0.0328203071680957	0.295382764512861	0.0435595061746846
A11	energy	Boundary	-5	-0.020246829460762	0.0122034118271098	-0.0441650771304074	0.00367141820888338	-1.65911220137501	0.0970931850599391	0.873838665539452	0.120232215144317
A11	energy	Boundary	0	-0.0151903305989811	0.0133566868311019	-0.0413689557407214	0.0109882945427591	-1.1372828300211	0.255420070138589	1	0.293649972176685
A11	energy	Boundary	5	-0.0119881629356038	0.0122034118271096	-0.0359064106052487	0.0119300847340411	-0.982361580961515	0.325921746451959	1	0.367108050768377
A11	energy	Boundary	10	-0.0153984079423673	0.0132644449428298	-0.0413962423052281	0.0105994264204935	-1.16087842414326	0.245691344256703	1	0.283695887703818
A11	energy	Boundary	15	-0.0295467904972746	0.0122887379538327	-0.0536322743022371	-0.00546130669231199	-2.40437957162714	0.0161999428697508	0.145799485827757	0.0222050941059515
A11	energy	Boundary	20	-0.0501192188987066	0.014995236716246	-0.0795093428022015	-0.0207290949952117	-3.34234262833655	0.000830744471056086	0.00747670023950477	0.00132088370897918
A11	energy	Interior_A	-20	-0.0234740630223144	0.014995236716246	-0.0528641869258091	0.00591606088118041	-1.56543464211421	0.117481031007055	1	0.143577893390636
