system	feature	region	estimate_tts_minus_bf	SE	CI95_low	CI95_high	wald_z	p_raw	p_BH
A02	tilt	Interior_B	0.0627817615743854	0.00912408801156788	0.0448988776799387	0.0806646454688322	6.88088075156534	5.94836307032067e-12	1.16381016593231e-11
A03	centroid	Boundary	-0.128998279843101	0.00827520741459003	-0.145217388340296	-0.112779171345906	-15.5885252635075	8.71216255652692e-55	3.92047315043711e-54
A03	centroid	Interior_A	-0.0699816143329835	0.00827520741459001	-0.0862007228301788	-0.0537625058357883	-8.45678069767762	2.7486013388674e-17	5.96082218067628e-17
A03	centroid	Interior_B	-0.100359749605121	0.00827520741459001	-0.116578858102316	-0.084140641107926	-12.1277624326584	7.5278292614056e-34	2.29662587636103e-33
A03	cpps	Boundary	0.433570600402413	0.0300361108465027	0.374700904907615	0.492440295897212	14.434978037541	3.11744990214992e-47	1.27532041451588e-46
A03	cpps	Interior_A	0.372498848356833	0.0300361108465037	0.313629152862033	0.431368543851633	12.4017004152251	2.55836222986605e-35	8.07903862062965e-35
A03	cpps	Interior_B	0.334830033330309	0.0300361108465037	0.275960337835509	0.393699728825109	11.1475828226038	7.35780007754518e-29	2.00667274842141e-28
A03	energy	Boundary	-0.133289406786575	0.00998393846784776	-0.152857566607421	-0.11372124696573	-13.3503834399441	1.17840782373211e-40	3.78773943342464e-40
A03	energy	Interior_A	-0.0940713692881551	0.00998393846784738	-0.113639529109	-0.0745032094673102	-9.42227053893669	4.41437120914728e-21	1.03193093200845e-20
A03	energy	Interior_B	-0.0790788614244874	0.00998393846784737	-0.0986470212453323	-0.0595107016036425	-7.92060785221741	2.36352261213506e-15	4.8900467837277e-15
A03	flatness	Boundary	-0.142143547013758	0.00687320712311213	-0.155614785433342	-0.128672308594175	-20.6808182072356	5.15589340681951e-95	4.21845824194323e-94
A03	flatness	Interior_A	-0.18323111151648	0.00687320712311218	-0.196702349936064	-0.169759873096896	-26.6587501634191	1.41691704168133e-156	2.83383408336266e-155
A03	flatness	Interior_B	-0.203324444170949	0.00687320712311217	-0.216795682590533	-0.189853205751365	-29.5821791092604	2.53343092218766e-192	7.60029276656297e-191
A03	flux	Boundary	-0.217620606440172	0.0113141591653573	-0.239795950919626	-0.195445261960717	-19.2343596426061	1.90886272684046e-82	1.32152034935108e-81
A03	flux	Interior_A	-0.19484502073919	0.0113141591653576	-0.217020365218645	-0.172669676259735	-17.2213434415682	1.83674766766155e-66	1.00186236417903e-65
A03	flux	Interior_B	-0.206551080184716	0.0113141591653576	-0.228726424664171	-0.184375735705261	-18.2559814800155	1.85448041941434e-74	1.15105681205028e-73
A03	tilt	Boundary	0.261610867485655	0.00994152820372306	0.242125830255069	0.281095904716242	26.3149550174473	1.29322315648717e-152	2.03887148446194e-151
A03	tilt	Interior_A	0.249829622013565	0.00994152820372339	0.230344584782978	0.269314659244152	25.1299012479788	2.34417260035589e-139	2.63719417540038e-138
A03	tilt	Interior_B	0.222899787266797	0.00994152820372339	0.20341475003621	0.242384824497384	22.4210788018802	2.45170983542262e-111	2.10146557321939e-110
A04	centroid	Boundary	-0.0246430806245552	0.0081964081232347	-0.0407077453486868	-0.00857841590042367	-3.00657071415203	0.00264212593044269	0.00357580952992244
A04	centroid	Interior_A	-0.0265928306849529	0.00819640812323435	-0.0426574954090837	-0.010528165960822	-3.24444931061573	0.00117677960049225	0.00162938713914312
A04	centroid	Interior_B	-0.038989284918995	0.00819640812323437	-0.0550539496431259	-0.0229246201948641	-4.75687451537119	1.9661330010773e-06	3.30751345975621e-06
A04	cpps	Boundary	0.0746831082205767	0.0280751454123639	0.0196568343516186	0.129709382089535	2.66011474290307	0.00781140348956495	0.00997200445476376
A04	cpps	Interior_A	0.0382867409386615	0.0280751454123635	-0.0167395329302959	0.0933130148076189	1.36372369141145	0.172654544729461	0.193029925784491
A04	cpps	Interior_B	0.0318131542386539	0.0280751454123635	-0.0232131196303035	0.0868394281076113	1.13314299076237	0.257154210181896	0.283973974433995
A04	energy	Boundary	-0.00778641911468478	0.00978885600805531	-0.0269722243403217	0.0113993861109522	-0.795437087671663	0.426359293301198	0.459081460356275
A04	energy	Interior_A	-0.0304653008152003	0.0097888560080557	-0.049651106040838	-0.0112794955895626	-3.1122432274138	0.00185671455126947	0.00253188347900383
A04	energy	Interior_B	-0.0198945508299377	0.0097888560080557	-0.0390803560555754	-0.000708745604300048	-2.03236729742123	0.0421164861911488	0.050878976606757
A04	flatness	Boundary	-0.0969664343470236	0.00670032385486066	-0.110098827787305	-0.0838340409067421	-14.4719026195548	1.82357206629359e-47	7.63355748681037e-47
A04	flatness	Interior_A	-0.122158923375436	0.00670032385486071	-0.135291316815718	-0.109026529935154	-18.2317938687123	2.88694418281621e-74	1.73216650968972e-73
A04	flatness	Interior_B	-0.151457993482158	0.00670032385486072	-0.16459038692244	-0.138325600041877	-22.604578041744	3.90692214754495e-113	3.51622993279046e-112
A04	flux	Boundary	-0.00660338941755627	0.0119565465163849	-0.0300377899691485	0.016831011134036	-0.552282334075912	0.580754932156825	0.607766789466445
A04	flux	Interior_A	0.0516206745244631	0.0119565465163853	0.0281862739728701	0.0750550750760562	4.31735655891289	1.57908961738001e-05	2.45031147524485e-05
A04	flux	Interior_B	0.039237389362546	0.0119565465163853	0.0158029888109529	0.062671789914139	3.2816657643388	0.00103195848205852	0.00143994206798864
A04	tilt	Boundary	-0.0026427965757479	0.00960985785941422	-0.0214777718767489	0.0161921787252531	-0.275008914222275	0.783309389716254	0.801466498169135
A04	tilt	Interior_A	-0.00153860016412134	0.0096098578594143	-0.0203735754651225	0.0172963751368799	-0.160106443469822	0.872797225501189	0.882603935900079
A04	tilt	Interior_B	0.00049387767070704	0.0096098578594143	-0.0183410976302942	0.0193288529717082	0.0513928174518432	0.959012508054812	0.964370119831654
A07	centroid	Boundary	-0.0047803407853169	0.007288018119495	-0.0190645938182024	0.00950391224756864	-0.655917796434915	0.511877016969797	0.541987429732726
A07	centroid	Interior_A	0.0104893176046315	0.00728801811949487	-0.00379493542825381	0.0247735706375167	1.43925514901965	0.150078245291798	0.169899900330337
A07	centroid	Interior_B	0.0206590704861356	0.00728801811949486	0.00637481745325032	0.0349433235190208	2.83466233856832	0.00458741439729663	0.00589810422509567
A07	cpps	Boundary	0.334252534342253	0.0336226980102813	0.268353257179035	0.400151811505471	9.94127640322153	2.75276989788634e-23	6.78765180300742e-23
A07	cpps	Interior_A	0.35865303352098	0.0336226980102826	0.29275375635776	0.424552310684201	10.6669914892403	1.45253450846746e-26	3.84494428711975e-26
A07	cpps	Interior_B	0.340456887231438	0.0336226980102826	0.274557610068217	0.406356164394658	10.125805107232	4.24470895356584e-24	1.07612339667866e-23
A07	energy	Boundary	-0.045707885798986	0.010162722498027	-0.0656264558799938	-0.0257893157179781	-4.49760246900963	6.8724041422101e-06	1.11444391495299e-05
A07	energy	Interior_A	-0.0221207557526088	0.0101627224980271	-0.0420393258336168	-0.00220218567160089	-2.17665647732714	0.0295062078905913	0.036130050478275
A07	energy	Interior_B	-0.0297603572160237	0.0101627224980271	-0.0496789272970317	-0.00984178713501577	-2.92838432042214	0.00340728595316051	0.00450964317330068
