system,feature,time_ms,estimate,significant,equivalent
A01,flatness,-5,0.123195700565029,True,False
A01,flatness,0,0.131093107178686,True,False
A01,flatness,5,0.100493124256735,True,False
A01,flatness,10,0.0549115793705715,True,True
A01,flatness,15,0.0211103760222345,False,True
A01,flatness,20,-0.0031726483048616,False,True
A02,flatness,-20,0.0783874247532603,True,False
A02,flatness,-15,0.0863727888634489,True,False
A02,flatness,-10,0.0822881565493709,True,False
A02,flatness,-5,0.0576761285743364,True,True
A02,flatness,0,0.0185296944519636,False,True
A02,flatness,5,-0.023108795681352,False,True
A02,flatness,10,-0.0454499379484124,True,True
A02,flatness,15,-0.0319322191871067,False,True
A02,flatness,20,0.0033472571635259,False,True
A03,flatness,-20,0.102428094219274,True,False
A03,flatness,-15,0.106881560865445,True,False
A03,flatness,-10,0.113634503070805,True,False
A03,flatness,-5,0.120413202186187,True,False
A03,flatness,0,0.106651162728999,True,False
A03,flatness,5,0.0569921074280327,True,True
A03,flatness,10,-0.0047865913089432,False,True
A03,flatness,15,-0.052504374574963,True,True
A03,flatness,20,-0.0895015871452329,True,False
A04,flatness,-20,-0.029648953491409,False,True
A04,flatness,-15,-0.0211504953000827,False,True
A04,flatness,-10,0.0009380929880054,False,True
A04,flatness,-5,0.0427691665769401,True,True
A04,flatness,0,0.0807439811000955,True,False
A04,flatness,5,0.0914641461896315,True,False
A04,flatness,10,0.0820837870435586,True,False
A04,flatness,15,0.065372137915283,True,True
A04,flatness,20,0.0460063537139396,True,True
A07,flatness,-20,0.0103131526299194,False,True
A07,flatness,-15,-0.0080537231311717,False,True
A07,flatness,-10,-0.0097186870816126,False,True
A07,flatness,-5,0.0136654002311455,False,True
A07,flatness,0,0.037026588827246,True,True
A07,flatness,5,0.0359825338584007,True,True
A07,flatness,10,0.0223284004350023,False,True
A07,flatness,15,0.0127446853783105,False,True
A07,flatness,20,0.0072757023943733,False,True
A08,flatness,-20,-0.02897490325116,False,True
A08,flatness,-15,0.0132772590761005,False,True
A08,flatness,-10,0.0679042827968438,True,True
A08,flatness,-5,0.138360077413101,True,False
A08,flatness,0,0.192414744861098,True,False
A08,flatness,5,0.199889540731088,True,False
A08,flatness,10,0.174494142795254,True,False
A08,flatness,15,0.137479071358995,True,False
A08,flatness,20,0.0963697946786548,True,False
A09,flatness,-20,0.0064754467614881,False,True
A09,flatness,-15,0.0015855008597352,False,True
A09,flatness,-10,-0.0023036283405084,False,True
A09,flatness,-5,-0.0048014475713557,False,True
A09,flatness,0,-0.0079587572994086,False,True
A09,flatness,5,-0.0121142084516821,False,True
A09,flatness,10,-0.0083165600623552,False,True
A09,flatness,15,0.0112267150277112,False,True
A09,flatness,20,0.0403833968580929,False,True
A10,flatness,-20,-0.0159544536511046,False,True
A10,flatness,-15,-0.040568120774678,True,True
A10,flatness,-10,-0.056368157641959,True,True
A10,flatness,-5,-0.0574930184723925,True,True
A10,flatness,0,-0.0498894953883734,True,True
A10,flatness,5,-0.0406093682046722,True,True
A10,flatness,10,-0.0293160296026102,False,True
A10,flatness,15,-0.0145394691238537,False,True
A10,flatness,20,0.0023355491151035,False,True
A11,flatness,-20,-0.0376135691085471,False,True
A11,flatness,-15,-0.0806656036771488,True,False
A11,flatness,-10,-0.0965751138175448,True,False
A11,flatness,-5,-0.0697161602631559,True,True
A11,flatness,0,-0.030529144393909,False,True
A11,flatness,5,-0.0109669904909354,False,True
A11,flatness,10,-0.0029663737936771,False,True
A11,flatness,15,0.0079867073974102,False,True
A11,flatness,20,0.0221927134961299,False,True
