system,feature,region,estimate,p_bh
A10,centroid,Boundary,-0.0194023593146741,0.0139072641730572
A10,centroid,Interior_A,0.0023358066932721,0.786318215809113
A10,centroid,Interior_B,-0.0020059912167407,0.806590693719809
A10,cpps,Boundary,-0.0397264913813086,0.231818070654568
A10,cpps,Interior_A,-0.0826723262533275,0.0112596590510084
A10,cpps,Interior_B,-0.0350824877439731,0.29288516994921
A10,energy,Boundary,-0.0390612339672587,0.0002021966232793
A10,energy,Interior_A,-0.0460437932822702,1.11227017714664e-05
A10,energy,Interior_B,-0.0437878254145336,2.88223953363602e-05
A10,flatness,Boundary,-0.0036582445755497,0.667305997322151
A10,flatness,Interior_A,0.0247195833389988,0.0022623105615531
A10,flatness,Interior_B,0.0351644972309105,1.20300505887712e-05
A10,flux,Boundary,-0.0506837627416136,0.0002864304498927
A10,flux,Interior_A,-0.0251952250449631,0.0749265471246658
A10,flux,Interior_B,-0.0259906568746353,0.0664874265072407
A10,tilt,Boundary,-0.0185339345987325,0.0870461705419346
A10,tilt,Interior_A,-0.0057898474840893,0.607766789466445
A10,tilt,Interior_B,-0.0144622740375938,0.18525633935304
A11,centroid,Boundary,-0.0526168157824747,1.1516271329239299e-11
A11,centroid,Interior_A,-0.0286264465187936,0.0002659001351176
A11,centroid,Interior_B,-0.0150172396600923,0.0589419753846906
A11,cpps,Boundary,-0.321529645259875,1.0893212724856e-22
A11,cpps,Interior_A,-0.450806556516446,3.4549989172981097e-43
A11,cpps,Interior_B,-0.23454838955506,1.06695832956865e-12
A11,energy,Boundary,-0.0298458759481112,0.0057845573439818
A11,energy,Interior_A,-0.0399441981726433,0.0002082297725396
A11,energy,Interior_B,-0.0589179958273218,3.52993587632242e-08
A11,flatness,Boundary,-0.0002426780528376,0.975772238993772
A11,flatness,Interior_A,0.0230437648189526,0.0051625402953379
A11,flatness,Interior_B,0.0428827756645674,1.40281955816761e-07
A11,flux,Boundary,-0.0116606291480681,0.453976573528409
A11,flux,Interior_A,0.0640748653074341,1.3943557163025e-05
A11,flux,Interior_B,0.0801046893174357,4.97567834302906e-08
A11,tilt,Boundary,-0.0648141864336544,9.91562894333031e-10
A11,tilt,Interior_A,-0.0813268326173936,1.3438630231661601e-14
A11,tilt,Interior_B,-0.068756174345244,8.5358419881805e-11
A12,centroid,Boundary,0.0769378663914873,3.56040327259183e-23
A12,centroid,Interior_A,0.0924736334600131,7.65932649473999e-33
A12,centroid,Interior_B,0.105860019598707,1.3671402331274399e-42
A12,cpps,Boundary,0.0086737885622162,0.801466498169135
A12,cpps,Interior_A,-0.0493270814908424,0.13578290549192
A12,cpps,Interior_B,0.0213953751653565,0.530682328882129
A12,energy,Boundary,-0.0509177597386654,1.66704428605506e-06
A12,energy,Interior_A,-0.0492586767046154,3.60496483699665e-06
A12,energy,Interior_B,-0.0295039632869158,0.0058859102528836
A12,flatness,Boundary,0.0717931344785472,8.41988351944584e-18
A12,flatness,Interior_A,0.0973137546549981,1.5856814671516701e-31
A12,flatness,Interior_B,0.112581162479953,1.05817626610461e-41
A12,flux,Boundary,-0.0610197813709067,1.19130936557278e-05
A12,flux,Interior_A,-0.0806748142735611,5.7543584421545e-09
A12,flux,Interior_B,-0.0603793305681038,1.44483581061581e-05
A12,tilt,Boundary,0.0414609759092734,6.59843746079681e-05
A12,tilt,Interior_A,0.0369603258969638,0.0003901026307481
A12,tilt,Interior_B,0.0335334251504508,0.0013419488442026
